Severity,Temperature_C,Wind_Speed_kmh,Visibility_km,Precipitation_mm,Humidity_pct,Pressure_hPa,Speed_Limit,Weather_Condition,Road_Type,Hour,Day_of_Week,Month,State,Junction,Traffic_Signal,Crossing,Stop,Amenity,Country
2,30.1,13.6,13.0,0.0,83.2,1013.77,100,Cloudy,Ring Road,21,Monday,6,"Mysuru, Karnataka",0,0,0,0,0,India
1,19.6,10.0,11.9,0.0,48.1,1018.38,30,Cloudy,National Highway,5,Thursday,12,"Hubballi, Karnataka",0,1,0,0,0,India
1,23.1,50.0,14.4,1.92,73.6,1012.92,50,Rain,National Highway,7,Thursday,2,"Hubballi, Karnataka",0,0,0,0,0,India
3,26.2,2.9,10.6,0.0,84.9,1015.51,50,Cloudy,Ring Road,3,Sunday,1,"Belagavi, Karnataka",0,0,1,0,1,India
2,35.7,6.6,12.5,0.0,100.0,1013.08,50,Clear,City Street,9,Friday,5,"Hubballi, Karnataka",0,0,0,0,1,India
1,22.6,1.6,10.1,0.0,80.7,1003.23,60,Clear,State Highway,11,Wednesday,3,"Belagavi, Karnataka",0,0,0,0,1,India
1,28.1,2.4,8.2,0.0,70.4,1014.15,50,Clear,City Street,8,Wednesday,9,"Hubballi, Karnataka",1,1,0,0,0,India
1,30.9,15.0,13.2,0.0,69.1,1010.6,50,Cloudy,City Street,19,Friday,8,"Mysuru, Karnataka",1,0,0,1,0,India
2,35.4,0.1,6.3,0.0,88.3,1019.98,40,Clear,City Street,10,Thursday,10,"Mysuru, Karnataka",0,1,0,0,1,India
1,31.9,26.5,9.9,0.0,60.7,1002.8,30,Clear,Ring Road,9,Friday,2,"Mangaluru, Karnataka",1,1,1,0,0,India
1,33.5,12.0,8.3,0.0,76.9,1004.34,60,Cloudy,State Highway,14,Thursday,8,"Mangaluru, Karnataka",0,0,0,0,1,India
1,32.3,7.0,12.5,0.0,97.9,1013.63,50,Cloudy,State Highway,6,Sunday,11,"Hubballi, Karnataka",1,0,1,0,0,India
2,22.0,4.8,7.2,2.08,63.4,1017.56,80,Rain,City Street,18,Monday,3,"Mysuru, Karnataka",1,1,0,1,0,India
4,29.8,1.6,8.8,0.0,34.8,1009.4,100,Cloudy,State Highway,5,Thursday,12,"Belagavi, Karnataka",1,0,0,0,0,India
3,32.2,30.5,10.1,0.96,52.1,1009.43,30,Heavy Rain,City Street,23,Saturday,9,"Hubballi, Karnataka",1,0,0,0,0,India
4,23.2,15.0,14.5,0.0,69.4,1011.04,60,Fog,State Highway,18,Monday,11,"Bengaluru, Karnataka",0,0,1,0,0,India
1,25.1,4.9,8.4,8.43,52.4,1007.58,80,Rain,National Highway,7,Monday,10,"Mangaluru, Karnataka",0,1,0,0,0,India
2,24.0,0.9,8.8,0.0,59.8,1014.94,60,Cloudy,State Highway,0,Monday,5,"Mangaluru, Karnataka",0,0,0,0,0,India
1,31.9,4.7,6.0,0.0,60.6,1007.59,50,Clear,City Street,18,Sunday,11,"Mangaluru, Karnataka",0,1,0,0,1,India
3,27.7,2.4,7.1,5.35,73.4,1013.5,40,Thunderstorm,City Street,17,Saturday,8,"Belagavi, Karnataka",0,1,0,0,0,India
1,26.4,18.5,11.2,0.0,50.8,1003.38,50,Clear,State Highway,17,Monday,6,"Mangaluru, Karnataka",1,1,1,1,0,India
1,21.6,15.3,10.1,0.0,56.2,1018.59,40,Clear,National Highway,18,Friday,10,"Mysuru, Karnataka",0,0,0,1,0,India
3,27.7,8.3,10.1,0.0,86.1,999.4,80,Cloudy,State Highway,5,Thursday,9,"Mangaluru, Karnataka",0,1,0,1,0,India
1,25.2,26.0,15.0,0.0,57.8,1004.68,30,Clear,City Street,10,Monday,8,"Belagavi, Karnataka",1,1,1,0,1,India
4,29.2,2.4,5.0,1.02,75.9,1021.27,40,Thunderstorm,State Highway,6,Thursday,7,"Hubballi, Karnataka",0,1,0,0,1,India
1,22.3,7.2,15.0,0.0,65.2,1010.51,60,Cloudy,City Street,19,Monday,11,"Bengaluru, Karnataka",0,0,0,0,0,India
1,28.9,14.9,13.5,0.0,64.7,1006.7,60,Cloudy,City Street,15,Monday,10,"Hubballi, Karnataka",1,1,0,1,0,India
1,25.8,0.8,9.0,0.0,76.1,1003.61,60,Cloudy,National Highway,10,Tuesday,5,"Hubballi, Karnataka",1,0,0,1,1,India
3,21.8,5.6,11.2,0.0,37.1,1007.82,40,Cloudy,City Street,4,Sunday,3,"Mangaluru, Karnataka",1,1,0,0,1,India
2,21.4,10.2,8.0,0.0,71.7,1011.45,40,Clear,National Highway,9,Thursday,5,"Hubballi, Karnataka",0,1,0,1,1,India
1,22.1,5.5,11.0,0.0,73.3,1012.43,50,Cloudy,City Street,9,Monday,12,"Bengaluru, Karnataka",1,0,0,0,0,India
1,27.0,7.9,15.0,2.58,77.7,1011.61,40,Rain,National Highway,17,Monday,1,"Mangaluru, Karnataka",0,1,0,1,0,India
1,28.6,11.2,8.1,0.0,59.4,1001.07,50,Cloudy,National Highway,16,Monday,8,"Mysuru, Karnataka",0,0,0,1,0,India
2,29.3,5.5,9.3,2.39,65.0,1010.69,60,Rain,City Street,20,Tuesday,7,"Hubballi, Karnataka",1,1,1,0,0,India
1,29.5,1.3,7.7,0.0,28.2,1011.69,50,Clear,State Highway,12,Monday,3,"Mangaluru, Karnataka",1,0,0,0,0,India
4,24.2,1.8,8.2,0.0,55.0,1011.74,120,Clear,City Street,6,Tuesday,10,"Belagavi, Karnataka",1,1,0,0,1,India
1,33.3,9.0,8.8,0.0,67.6,1010.15,50,Clear,City Street,17,Monday,7,"Belagavi, Karnataka",1,1,0,0,0,India
3,25.8,2.3,6.7,0.0,87.1,1003.86,50,Clear,City Street,18,Friday,6,"Hubballi, Karnataka",0,1,1,0,0,India
1,30.3,26.5,9.2,5.71,92.7,1005.39,40,Rain,State Highway,14,Wednesday,10,"Bengaluru, Karnataka",1,1,0,0,0,India
2,27.2,21.6,10.2,0.44,59.9,1016.07,40,Rain,City Street,18,Friday,6,"Mysuru, Karnataka",0,1,0,0,1,India
1,29.9,5.2,8.8,0.0,78.1,1006.12,30,Clear,City Street,13,Tuesday,1,"Mysuru, Karnataka",0,0,0,0,0,India
1,26.9,21.3,3.1,0.0,62.8,1006.39,50,Cloudy,State Highway,13,Wednesday,6,"Mangaluru, Karnataka",1,1,1,1,0,India
2,30.0,9.1,9.5,13.36,40.8,1008.52,120,Rain,City Street,11,Thursday,3,"Mysuru, Karnataka",0,0,0,0,0,India
2,28.0,2.1,9.9,0.0,74.1,1003.92,60,Clear,Ring Road,1,Monday,6,"Belagavi, Karnataka",0,1,0,0,1,India
1,32.1,11.4,15.0,0.0,92.5,1013.17,50,Clear,National Highway,6,Tuesday,5,"Mysuru, Karnataka",0,1,0,0,0,India
4,23.9,13.7,10.1,5.28,59.3,1003.66,60,Thunderstorm,Ring Road,2,Sunday,1,"Hubballi, Karnataka",0,0,0,1,0,India
2,19.2,1.1,12.8,0.0,51.4,1015.42,100,Cloudy,National Highway,16,Saturday,5,"Bengaluru, Karnataka",0,1,0,1,0,India
4,23.1,4.5,8.7,2.95,66.0,1003.28,60,Thunderstorm,State Highway,9,Sunday,4,"Belagavi, Karnataka",1,1,0,0,0,India
1,33.3,0.1,13.9,0.0,63.2,1008.6,50,Clear,State Highway,13,Monday,11,"Mysuru, Karnataka",0,0,0,0,0,India
1,27.2,4.6,7.2,3.65,100.0,1011.72,40,Rain,City Street,20,Thursday,10,"Mysuru, Karnataka",0,0,1,1,1,India
1,28.5,4.9,11.5,0.0,80.1,1013.95,30,Clear,National Highway,8,Tuesday,3,"Mangaluru, Karnataka",0,0,0,0,0,India
1,22.7,11.9,12.5,0.0,66.9,1008.87,40,Clear,Rural Road,11,Saturday,8,"Hubballi, Karnataka",1,0,0,0,1,India
2,28.3,2.7,12.1,0.0,21.6,1006.49,60,Cloudy,City Street,17,Thursday,3,"Belagavi, Karnataka",0,1,0,0,0,India
1,22.9,0.4,15.0,0.0,62.9,1017.1,40,Clear,City Street,8,Tuesday,9,"Mangaluru, Karnataka",0,1,1,0,0,India
2,23.6,4.6,8.2,0.0,92.8,1010.91,50,Clear,State Highway,5,Monday,4,"Mysuru, Karnataka",0,1,0,0,0,India
2,26.0,21.0,14.2,0.0,66.2,1009.15,50,Clear,Ring Road,9,Friday,9,"Hubballi, Karnataka",1,1,0,0,1,India
2,30.2,6.1,13.5,0.0,77.3,1000.91,60,Clear,City Street,7,Sunday,4,"Mangaluru, Karnataka",1,0,0,0,0,India
1,30.8,6.4,10.1,5.09,70.9,1010.96,30,Rain,State Highway,21,Wednesday,4,"Bengaluru, Karnataka",1,1,0,1,0,India
3,30.9,7.6,15.0,0.0,57.7,1009.98,120,Cloudy,City Street,18,Wednesday,5,"Mysuru, Karnataka",1,1,1,0,0,India
2,20.1,16.7,9.6,0.0,90.4,1003.22,60,Clear,City Street,16,Friday,4,"Hubballi, Karnataka",0,1,0,1,0,India
2,28.0,7.8,10.1,0.0,67.8,1006.09,60,Clear,City Street,20,Thursday,2,"Bengaluru, Karnataka",0,0,1,0,1,India
1,27.0,1.1,10.0,0.0,54.4,1010.47,30,Clear,State Highway,18,Friday,10,"Hubballi, Karnataka",0,0,1,0,1,India
2,20.3,2.8,6.2,0.0,65.3,1012.34,30,Cloudy,State Highway,7,Tuesday,8,"Hubballi, Karnataka",0,1,0,0,0,India
1,28.1,2.5,12.3,0.0,86.4,1004.91,60,Clear,National Highway,20,Monday,11,"Belagavi, Karnataka",0,1,0,1,1,India
1,26.7,8.5,11.8,2.42,42.8,1004.96,40,Rain,State Highway,14,Thursday,7,"Hubballi, Karnataka",0,1,1,1,1,India
2,30.6,0.4,9.7,0.0,69.1,1010.58,80,Clear,City Street,18,Thursday,8,"Mangaluru, Karnataka",1,0,0,1,0,India
1,28.4,4.0,15.0,0.0,66.1,1005.79,60,Clear,Ring Road,20,Friday,3,"Mysuru, Karnataka",0,1,1,0,0,India
4,25.3,11.2,8.7,14.3,41.9,1009.0,30,Heavy Rain,Ring Road,9,Monday,5,"Hubballi, Karnataka",1,0,0,0,1,India
3,32.6,5.3,4.8,7.93,76.5,1018.88,60,Rain,City Street,6,Tuesday,4,"Bengaluru, Karnataka",0,1,1,0,0,India
1,16.9,14.8,15.0,0.0,68.8,1009.79,80,Clear,City Street,8,Tuesday,12,"Hubballi, Karnataka",0,0,0,0,0,India
2,27.7,6.0,13.0,11.85,78.2,1015.11,80,Rain,National Highway,11,Thursday,5,"Belagavi, Karnataka",0,0,1,0,1,India
3,19.2,46.5,11.9,0.0,82.1,1003.77,50,Cloudy,City Street,18,Wednesday,8,"Belagavi, Karnataka",1,0,0,0,0,India
3,23.4,40.4,9.0,10.29,64.2,1006.16,50,Rain,National Highway,19,Friday,10,"Belagavi, Karnataka",1,0,0,0,1,India
3,30.6,19.3,11.0,0.0,56.7,1006.05,60,Cloudy,State Highway,0,Saturday,11,"Bengaluru, Karnataka",1,1,0,0,0,India
4,21.6,37.1,6.2,0.0,43.6,1004.48,80,Cloudy,City Street,13,Friday,5,"Belagavi, Karnataka",0,1,1,1,0,India
4,20.9,2.7,9.3,5.72,55.3,1001.16,60,Thunderstorm,State Highway,11,Saturday,10,"Hubballi, Karnataka",1,0,0,0,0,India
3,39.9,16.7,7.3,0.0,65.2,1010.97,50,Clear,National Highway,8,Friday,9,"Belagavi, Karnataka",0,1,0,0,0,India
2,21.2,4.7,10.8,0.0,50.5,1011.93,60,Cloudy,City Street,6,Thursday,2,"Mysuru, Karnataka",0,0,0,0,0,India
3,36.3,15.5,12.8,0.0,73.8,1005.27,60,Cloudy,State Highway,10,Thursday,5,"Mysuru, Karnataka",0,1,0,0,0,India
3,27.1,5.6,6.9,0.0,51.4,1006.27,50,Clear,National Highway,21,Thursday,2,"Mysuru, Karnataka",0,0,0,0,0,India
3,25.4,4.1,12.2,0.0,38.6,1010.39,100,Clear,National Highway,9,Tuesday,11,"Hubballi, Karnataka",0,0,1,0,0,India
2,30.8,38.3,10.6,0.0,56.3,1010.1,60,Clear,State Highway,13,Thursday,3,"Belagavi, Karnataka",0,0,0,0,1,India
1,34.7,2.8,12.1,0.0,67.8,1015.17,50,Cloudy,National Highway,17,Friday,2,"Hubballi, Karnataka",0,0,0,0,0,India
4,22.3,17.1,9.3,0.0,46.1,1015.67,120,Cloudy,City Street,10,Thursday,7,"Bengaluru, Karnataka",0,0,1,0,0,India
2,25.4,13.5,12.1,0.0,51.7,1006.66,100,Cloudy,State Highway,22,Wednesday,3,"Mysuru, Karnataka",1,1,0,0,0,India
1,32.2,4.3,7.9,0.0,55.5,1009.66,60,Clear,City Street,22,Sunday,11,"Mangaluru, Karnataka",0,1,0,0,0,India
1,29.4,7.4,5.0,0.0,57.5,1005.0,30,Cloudy,National Highway,8,Monday,4,"Mangaluru, Karnataka",1,1,0,0,1,India
3,33.5,1.9,5.6,0.0,69.5,1017.51,60,Fog,State Highway,13,Monday,12,"Mysuru, Karnataka",1,1,0,0,0,India
2,30.6,30.5,8.5,0.0,74.6,1011.33,30,Clear,City Street,9,Saturday,6,"Hubballi, Karnataka",1,0,0,0,1,India
4,37.0,41.3,5.2,0.0,57.9,1014.97,30,Cloudy,City Street,9,Monday,9,"Mangaluru, Karnataka",1,0,0,0,0,India
4,28.9,15.8,14.7,3.95,49.4,1008.18,50,Rain,City Street,2,Thursday,2,"Hubballi, Karnataka",0,1,0,0,0,India
3,29.1,22.7,9.8,24.37,67.1,1015.1,50,Rain,Ring Road,15,Sunday,6,"Belagavi, Karnataka",0,0,0,0,1,India
1,29.6,1.0,12.8,0.0,72.8,1013.72,50,Cloudy,National Highway,13,Friday,7,"Bengaluru, Karnataka",0,1,0,0,0,India
3,27.3,5.8,12.4,3.33,89.2,1016.39,40,Heavy Rain,State Highway,4,Wednesday,2,"Hubballi, Karnataka",1,1,0,0,0,India
1,32.2,4.8,10.0,0.0,82.2,1003.28,40,Clear,Rural Road,8,Monday,10,"Mangaluru, Karnataka",0,1,1,1,0,India
3,29.2,10.0,15.0,2.73,46.1,1010.37,60,Heavy Rain,National Highway,20,Tuesday,8,"Hubballi, Karnataka",1,1,0,1,1,India
1,31.9,2.4,15.0,0.0,62.9,1015.49,50,Clear,National Highway,8,Friday,8,"Hubballi, Karnataka",1,0,0,1,0,India
1,32.7,9.9,14.2,0.0,71.8,1005.32,30,Clear,National Highway,6,Friday,5,"Belagavi, Karnataka",1,1,0,0,0,India
2,30.1,12.7,7.3,0.0,52.2,1012.61,50,Clear,City Street,13,Thursday,10,"Belagavi, Karnataka",1,0,1,0,1,India
2,30.5,1.7,14.3,7.32,59.7,1012.86,60,Rain,State Highway,23,Thursday,5,"Mangaluru, Karnataka",0,0,1,0,0,India
1,22.9,1.7,4.8,0.0,75.1,1013.51,30,Cloudy,National Highway,8,Tuesday,7,"Mangaluru, Karnataka",0,1,0,0,0,India
2,25.2,0.4,14.2,0.0,68.7,1011.67,100,Clear,State Highway,16,Friday,11,"Bengaluru, Karnataka",0,0,0,0,0,India
3,32.2,17.2,2.3,0.0,65.0,1013.09,50,Clear,City Street,18,Sunday,12,"Hubballi, Karnataka",0,0,0,0,1,India
4,35.1,4.8,9.0,0.0,55.2,1012.16,50,Fog,National Highway,8,Friday,10,"Mysuru, Karnataka",0,1,1,0,1,India
1,18.3,3.1,13.6,2.4,43.3,1015.92,40,Rain,State Highway,17,Saturday,3,"Mangaluru, Karnataka",1,1,1,0,1,India
3,25.2,18.1,11.2,0.0,60.3,1006.41,60,Cloudy,City Street,10,Friday,1,"Mangaluru, Karnataka",0,1,1,0,0,India
1,28.1,1.9,5.6,0.0,63.6,1011.7,30,Cloudy,Ring Road,16,Friday,10,"Belagavi, Karnataka",0,0,1,0,0,India
4,23.6,6.7,10.5,0.0,43.0,1016.09,60,Cloudy,City Street,16,Monday,4,"Hubballi, Karnataka",1,1,0,0,0,India
1,23.9,16.4,11.2,0.0,65.7,1006.08,30,Clear,City Street,14,Monday,12,"Bengaluru, Karnataka",1,1,0,0,0,India
4,30.4,10.2,10.6,0.0,70.9,1006.54,50,Fog,State Highway,5,Wednesday,12,"Mysuru, Karnataka",1,1,1,0,0,India
2,35.9,9.7,8.8,0.0,54.6,1012.62,40,Clear,State Highway,19,Wednesday,12,"Mangaluru, Karnataka",0,0,0,1,0,India
1,17.8,2.1,12.6,0.0,71.1,1016.91,40,Cloudy,State Highway,9,Friday,11,"Belagavi, Karnataka",0,1,0,0,0,India
1,27.1,2.4,13.4,0.0,69.1,1009.33,50,Clear,City Street,7,Wednesday,2,"Bengaluru, Karnataka",1,1,0,0,0,India
1,30.3,10.5,9.5,0.0,60.4,1010.48,30,Cloudy,State Highway,3,Wednesday,10,"Bengaluru, Karnataka",0,0,0,0,0,India
1,31.9,0.3,14.6,0.0,58.8,1011.82,40,Cloudy,City Street,15,Sunday,12,"Hubballi, Karnataka",0,1,1,0,0,India
3,29.6,24.4,9.5,0.0,60.0,1007.57,50,Cloudy,Ring Road,16,Thursday,11,"Mysuru, Karnataka",0,0,1,0,0,India
3,36.8,5.2,8.5,0.0,52.2,1020.97,60,Clear,National Highway,0,Monday,4,"Bengaluru, Karnataka",1,0,1,0,0,India
1,28.1,6.5,14.1,0.0,70.2,1005.38,50,Cloudy,National Highway,13,Monday,5,"Belagavi, Karnataka",0,1,1,0,0,India
1,34.6,3.6,14.0,0.0,52.3,1010.45,80,Clear,National Highway,8,Friday,2,"Hubballi, Karnataka",0,1,0,0,0,India
2,24.8,25.1,8.1,0.0,53.3,1010.53,40,Clear,State Highway,16,Thursday,10,"Belagavi, Karnataka",0,0,1,0,1,India
2,28.3,12.3,7.7,0.0,72.5,999.06,50,Clear,National Highway,7,Saturday,12,"Belagavi, Karnataka",1,1,0,0,1,India
1,21.9,7.2,15.0,2.74,61.4,1005.79,30,Rain,Rural Road,17,Friday,8,"Belagavi, Karnataka",0,1,1,1,0,India
1,32.5,10.6,9.7,0.0,65.9,1003.24,40,Cloudy,National Highway,11,Saturday,1,"Mysuru, Karnataka",0,1,1,0,0,India
1,27.4,5.7,10.0,0.0,39.3,1013.6,100,Cloudy,State Highway,21,Tuesday,2,"Bengaluru, Karnataka",1,1,0,0,0,India
4,29.8,7.5,9.2,4.36,57.2,1001.53,120,Rain,National Highway,6,Wednesday,3,"Belagavi, Karnataka",0,0,0,0,0,India
2,26.4,5.3,14.0,0.0,90.2,1014.71,120,Cloudy,Ring Road,10,Friday,4,"Mangaluru, Karnataka",0,0,1,0,1,India
1,30.9,6.3,15.0,0.0,38.3,1004.1,80,Cloudy,City Street,6,Saturday,3,"Mangaluru, Karnataka",0,1,0,0,0,India
1,30.0,4.5,10.2,0.0,91.2,1014.81,40,Clear,Ring Road,21,Saturday,5,"Mangaluru, Karnataka",1,1,0,0,0,India
1,23.0,1.0,15.0,0.0,68.9,1003.02,40,Clear,Ring Road,20,Wednesday,8,"Belagavi, Karnataka",0,1,0,1,0,India
1,23.3,0.5,8.3,0.0,57.0,1012.12,30,Cloudy,State Highway,8,Thursday,7,"Belagavi, Karnataka",1,1,1,0,1,India
1,27.9,2.3,9.2,0.0,61.9,1014.68,30,Cloudy,National Highway,16,Monday,4,"Hubballi, Karnataka",0,0,0,1,1,India
1,31.3,3.5,12.0,4.3,83.5,1012.87,60,Rain,National Highway,18,Sunday,5,"Mangaluru, Karnataka",0,0,0,0,0,India
4,37.3,26.5,7.5,7.44,30.8,1003.89,50,Heavy Rain,National Highway,14,Tuesday,3,"Mysuru, Karnataka",1,0,0,0,0,India
