Severity,Temperature_F,Wind_Speed_mph,Visibility_mi,Precipitation_in,Humidity_pct,Pressure_in,Speed_Limit,Weather_Condition,Road_Type,Hour,Day_of_Week,Month,State,Junction,Traffic_Signal,Crossing,Stop,Amenity
3,86.6,5.9,0.5,0.0,24.6,30.61,25,Fog,Highway,6,Sunday,9,IL,0,1,0,1,1
2,66.9,3.9,7.6,0.0,50.8,29.23,70,Clear,City Street,13,Friday,10,OH,0,0,1,0,1
3,45.9,2.9,6.0,0.0,83.9,30.7,70,Clear,City Street,2,Friday,7,PA,1,0,0,0,0
3,62.0,5.8,5.7,0.0,46.7,30.02,65,Cloudy,Highway,20,Tuesday,8,CA,1,0,0,1,1
3,52.6,3.1,6.6,0.46,81.6,29.78,65,Heavy Rain,Highway,8,Wednesday,6,TX,0,0,1,1,0
1,63.2,4.5,3.6,0.04,60.6,29.33,25,Rain,Rural Road,16,Saturday,10,NC,1,0,0,0,0
1,51.6,10.7,10.0,0.0,56.3,30.53,35,Clear,State Road,9,Thursday,3,IL,0,0,0,1,1
3,46.5,7.9,1.6,0.0,26.7,30.17,35,Clear,Highway,13,Monday,2,IL,0,1,0,0,0
4,64.0,11.0,8.5,0.12,83.4,30.35,55,Heavy Rain,City Street,14,Tuesday,2,NY,0,0,0,0,0
3,61.1,10.0,5.5,0.0,62.3,29.76,65,Windy,Interstate,7,Saturday,9,OH,1,0,0,0,0
3,81.3,13.5,10.0,0.0,28.0,30.23,70,Snow,Highway,22,Saturday,12,NC,0,1,0,0,0
1,51.7,1.8,8.1,0.0,67.6,30.64,55,Cloudy,City Street,18,Tuesday,6,OH,0,1,0,0,0
4,20.4,42.6,1.6,0.0,48.2,30.2,55,Fog,City Street,21,Tuesday,1,PA,0,0,0,0,1
1,52.7,5.2,9.6,0.0,61.2,29.37,25,Cloudy,State Road,20,Sunday,9,GA,0,1,1,0,0
4,27.5,10.1,4.7,0.0,64.8,30.16,75,Cloudy,City Street,15,Wednesday,4,NC,1,1,0,0,1
1,68.3,9.1,10.0,0.0,84.3,30.28,70,Cloudy,Interstate,21,Monday,6,GA,0,0,0,0,0
2,26.5,6.7,9.9,0.0,37.5,30.74,25,Cloudy,Highway,5,Thursday,12,OH,0,1,0,0,0
3,40.2,43.8,10.0,0.06,71.4,30.19,55,Heavy Rain,Highway,7,Thursday,2,CA,0,0,0,0,0
2,52.8,2.0,8.6,0.0,86.6,30.45,45,Cloudy,Interstate,3,Sunday,1,FL,0,0,1,0,1
1,90.9,4.4,10.0,0.0,100.0,30.21,45,Clear,City Street,9,Friday,5,NY,0,0,0,0,1
2,38.5,1.1,8.1,0.0,81.0,29.22,65,Clear,State Road,11,Wednesday,3,NY,0,0,0,0,1
1,60.2,1.6,6.2,0.0,67.2,30.31,45,Clear,City Street,8,Wednesday,9,PA,1,1,0,0,0
1,71.6,10.0,10.0,0.0,65.5,29.96,55,Cloudy,City Street,19,Friday,8,IL,1,0,0,1,0
2,89.7,0.0,4.3,0.0,91.0,30.9,45,Clear,City Street,10,Thursday,10,IL,0,1,0,0,1
1,75.6,17.6,7.9,0.0,54.3,29.18,25,Clear,Interstate,9,Friday,2,TX,1,1,1,0,0
2,81.9,8.0,6.3,0.27,75.9,29.33,65,Rain,State Road,14,Thursday,8,OH,0,0,0,0,1
1,77.3,4.7,10.0,0.15,100.0,30.26,45,Rain,Highway,6,Sunday,11,TX,0,0,1,0,0
4,35.8,3.2,5.2,0.06,57.8,30.66,70,Heavy Rain,City Street,18,Monday,3,NY,1,1,0,1,0
4,67.2,1.1,6.8,0.0,19.7,29.84,70,Cloudy,State Road,5,Thursday,12,IL,0,0,0,0,0
2,77.0,20.4,8.1,0.0,42.8,29.84,25,Fog,City Street,23,Saturday,9,NY,1,0,0,0,0
2,40.9,10.0,10.0,0.03,65.9,30.0,65,Thunderstorm,State Road,18,Monday,11,MI,0,0,0,0,0
4,48.4,3.3,6.4,0.0,43.3,29.66,65,Snow,Highway,7,Monday,10,NC,0,1,0,1,0
3,43.9,0.6,6.8,0.43,53.1,30.39,55,Rain,State Road,0,Monday,5,NC,0,0,0,0,0
1,75.5,3.2,4.0,0.0,54.1,29.66,45,Clear,City Street,18,Sunday,11,TX,0,1,0,0,0
3,58.6,1.6,5.1,0.0,71.2,30.25,45,Windy,City Street,17,Saturday,8,PA,0,1,0,0,0
2,53.6,12.3,9.2,0.0,41.1,29.24,55,Clear,State Road,17,Monday,6,FL,1,1,0,1,0
1,34.4,10.2,8.1,0.0,48.3,30.76,45,Clear,Highway,18,Friday,10,TX,0,0,0,1,0
3,58.7,5.5,8.1,0.0,88.1,28.84,70,Cloudy,State Road,5,Thursday,9,CA,0,0,0,1,0
1,48.6,17.4,10.0,0.0,50.4,29.37,25,Clear,City Street,10,Monday,8,NY,1,0,1,0,0
3,64.9,1.6,3.0,0.03,74.5,31.03,35,Hail,State Road,6,Thursday,7,GA,0,0,0,0,1
2,37.1,4.8,10.0,0.0,60.3,29.95,55,Cloudy,City Street,19,Monday,11,NY,0,0,0,0,0
1,63.6,9.9,10.0,0.0,59.5,29.57,65,Cloudy,City Street,15,Monday,10,TX,1,0,0,1,0
2,51.2,0.6,7.0,0.34,74.8,29.26,65,Rain,Highway,10,Tuesday,5,CA,0,0,0,1,1
3,35.0,3.7,9.2,0.0,22.8,29.68,45,Cloudy,City Street,4,Sunday,3,FL,1,0,0,0,1
2,33.5,6.8,6.0,0.0,68.9,30.04,45,Clear,Highway,9,Thursday,5,NY,0,1,0,1,0
1,36.5,3.7,9.0,0.27,71.1,30.14,45,Rain,City Street,9,Monday,12,NC,1,0,0,1,0
1,55.9,5.2,10.0,0.08,77.0,30.06,35,Rain,Highway,17,Monday,1,PA,0,1,0,1,0
1,62.4,7.5,6.1,0.0,52.5,29.01,45,Cloudy,Highway,16,Monday,8,NY,0,0,0,1,0
3,65.4,3.7,7.3,0.07,60.0,29.97,65,Heavy Rain,City Street,20,Tuesday,7,CA,1,1,1,0,0
2,66.2,0.9,5.7,0.0,10.9,30.07,55,Clear,State Road,12,Monday,3,IL,1,0,0,0,0
4,44.8,1.2,6.2,0.0,46.6,30.07,75,Clear,City Street,6,Tuesday,10,FL,0,1,0,0,1
1,81.2,6.0,6.8,0.0,63.5,29.91,55,Clear,City Street,17,Monday,7,TX,1,1,0,0,0
2,51.2,1.5,4.7,0.0,89.4,29.29,45,Cloudy,City Street,18,Friday,6,OH,0,1,0,0,0
3,69.0,17.6,7.2,0.0,96.9,29.44,35,Snow,State Road,14,Wednesday,10,FL,0,1,0,0,0
3,56.7,14.4,8.2,0.0,53.2,30.51,35,Snow,City Street,18,Friday,6,NC,0,1,0,0,0
1,67.5,3.4,6.8,0.0,77.5,29.51,25,Cloudy,City Street,13,Tuesday,1,PA,0,0,0,1,0
4,55.7,14.2,1.1,0.0,57.1,29.54,45,Cloudy,State Road,13,Wednesday,6,IL,0,1,1,1,0
2,67.9,6.1,7.5,0.4,27.7,29.75,75,Rain,City Street,11,Thursday,3,NY,0,0,0,0,0
3,59.9,1.4,7.9,0.0,72.1,29.29,65,Clear,Interstate,1,Monday,6,CA,0,1,0,0,0
1,76.3,7.6,10.0,0.0,96.6,30.22,45,Clear,Highway,6,Tuesday,5,FL,0,1,0,1,0
4,43.6,9.1,8.1,0.16,52.4,29.27,65,Hail,Interstate,2,Sunday,1,OH,0,0,0,1,0
2,24.6,0.7,10.0,0.09,41.9,30.44,70,Rain,Highway,16,Saturday,5,FL,0,1,0,1,0
4,40.5,3.0,6.7,0.0,61.3,29.23,65,Windy,State Road,9,Sunday,4,TX,0,1,0,0,0
1,81.4,0.0,10.0,0.0,57.5,29.76,55,Clear,Highway,13,Monday,11,OH,0,0,0,0,0
1,56.9,3.0,5.2,0.11,100.0,30.07,35,Rain,City Street,20,Thursday,10,OH,0,0,1,1,1
1,61.8,3.3,9.5,0.0,80.1,30.3,25,Clear,Highway,8,Tuesday,3,IL,0,0,0,0,0
1,38.9,8.0,10.0,0.0,62.6,29.79,35,Clear,Rural Road,11,Saturday,8,NY,1,0,0,0,0
2,61.3,1.8,10.0,0.0,10.0,29.55,65,Cloudy,Rural Road,17,Thursday,3,NC,0,1,0,0,0
1,39.5,0.2,10.0,0.0,57.1,30.61,35,Clear,City Street,8,Tuesday,9,GA,0,1,1,0,0
3,42.5,3.0,6.2,0.0,97.0,29.99,55,Clear,State Road,5,Monday,4,CA,0,1,0,0,0
2,52.0,14.0,10.0,0.0,61.6,29.81,45,Clear,Interstate,9,Friday,9,IL,1,1,0,0,1
2,68.9,4.1,10.0,0.0,76.4,28.99,55,Clear,Rural Road,7,Sunday,4,GA,1,0,0,0,0
1,71.0,4.3,8.1,0.15,67.8,30.0,25,Rain,State Road,21,Wednesday,4,MI,1,1,0,1,0
2,71.6,5.1,10.0,0.0,50.3,29.9,75,Cloudy,City Street,18,Wednesday,5,OH,1,1,1,0,0
3,28.2,11.1,7.6,0.0,93.8,29.22,65,Clear,City Street,16,Friday,4,NY,0,1,0,1,0
2,59.9,5.2,8.1,0.0,63.8,29.51,65,Clear,City Street,20,Thursday,2,GA,0,0,1,0,1
1,56.1,0.8,8.0,0.0,45.9,29.95,25,Clear,State Road,18,Friday,10,OH,0,0,1,0,0
1,29.4,1.8,4.2,0.22,60.4,30.13,25,Rain,State Road,7,Tuesday,8,FL,0,1,0,0,0
2,60.3,1.7,10.0,0.0,88.6,29.39,65,Clear,Highway,20,Monday,11,MI,0,1,0,1,1
3,55.0,5.7,9.8,0.07,30.4,29.4,35,Heavy Rain,State Road,14,Thursday,7,NY,0,1,1,1,0
1,70.2,0.2,7.7,0.0,65.4,29.96,70,Clear,City Street,18,Thursday,8,PA,0,0,0,1,0
1,61.6,2.7,10.0,0.0,61.5,29.48,55,Clear,Interstate,20,Friday,3,PA,0,0,0,0,0
3,49.0,7.5,6.7,0.0,29.2,29.8,25,Fog,Interstate,9,Monday,5,GA,1,0,0,0,1
2,78.5,3.5,2.8,0.24,75.3,30.79,55,Rain,City Street,6,Tuesday,4,PA,0,1,1,0,0
3,15.6,9.8,10.0,0.0,65.1,29.88,65,Clear,City Street,8,Tuesday,12,MI,0,0,0,0,0
4,58.7,4.0,10.0,0.0,77.6,30.41,65,Snow,Highway,11,Thursday,5,PA,0,0,1,0,0
2,24.7,31.0,9.9,0.0,82.8,29.28,45,Cloudy,City Street,18,Wednesday,8,GA,0,0,0,0,0
4,41.8,26.9,7.0,0.0,58.9,29.52,55,Snow,Highway,19,Friday,10,FL,1,0,0,0,1
2,70.5,12.9,9.0,0.21,48.9,29.51,65,Rain,Highway,0,Saturday,11,FL,1,1,0,1,0
4,34.5,24.7,4.2,0.09,31.5,29.35,70,Rain,City Street,13,Friday,5,FL,0,1,1,1,0
3,31.5,1.8,7.3,0.0,47.1,29.02,65,Windy,State Road,11,Saturday,10,NY,1,0,0,0,0
3,105.0,11.1,5.3,0.0,60.2,30.0,55,Clear,Highway,8,Friday,9,GA,0,1,0,0,0
2,32.8,3.1,8.8,0.07,40.7,30.09,65,Rain,Rural Road,6,Thursday,2,OH,0,0,0,0,0
1,93.0,10.3,10.0,0.0,71.7,29.43,65,Cloudy,State Road,10,Thursday,5,CA,0,1,0,0,0
2,56.6,3.7,4.9,0.0,41.9,29.53,55,Clear,Highway,21,Thursday,2,FL,0,0,0,0,0
3,49.5,2.7,10.0,0.0,24.7,29.94,70,Clear,Highway,9,Tuesday,11,TX,0,0,1,0,0
2,71.3,25.5,8.6,0.0,48.4,29.91,55,Clear,Highway,13,Thursday,3,FL,0,0,0,0,0
1,86.7,1.9,10.0,0.17,63.7,30.42,45,Rain,Highway,17,Friday,2,TX,0,0,0,0,0
1,37.1,11.4,7.3,0.0,34.8,30.47,75,Cloudy,City Street,10,Thursday,7,NY,0,0,1,0,0
2,49.8,9.0,10.0,0.0,42.2,29.57,70,Cloudy,State Road,22,Wednesday,3,CA,1,1,0,0,0
2,76.9,2.9,5.9,0.0,47.4,29.87,65,Clear,Rural Road,22,Sunday,11,TX,0,0,0,0,0
1,65.8,4.9,3.0,0.0,50.0,29.4,25,Cloudy,Highway,8,Monday,4,NY,0,0,0,1,1
4,82.0,1.2,3.6,0.0,66.0,30.65,65,Fog,State Road,13,Monday,12,PA,1,1,0,0,0
2,70.3,20.3,6.5,0.0,72.8,30.03,25,Cloudy,City Street,9,Saturday,6,NC,1,0,0,0,0
2,96.2,27.6,3.2,0.1,50.5,30.4,25,Rain,City Street,9,Monday,9,TX,1,0,0,0,0
4,63.6,10.5,10.0,0.12,39.2,29.72,45,Heavy Rain,City Street,2,Thursday,2,TX,0,1,0,0,0
4,64.4,15.1,7.8,0.73,62.7,30.41,45,Heavy Rain,Interstate,15,Sunday,6,MI,0,0,0,0,1
1,66.4,0.7,10.0,0.0,70.4,30.27,55,Cloudy,Highway,13,Friday,7,FL,0,0,0,0,0
3,57.2,3.9,10.0,0.0,92.3,30.54,35,Snow,State Road,4,Wednesday,2,TX,1,0,0,0,0
1,77.0,3.2,8.0,0.0,82.9,29.23,35,Cloudy,Rural Road,8,Monday,10,GA,0,0,1,1,0
4,64.7,6.7,10.0,0.0,34.8,29.94,65,Fog,Highway,20,Tuesday,8,CA,1,1,0,1,1
1,75.8,1.6,10.0,0.0,57.2,30.45,45,Clear,Highway,8,Friday,8,IL,1,0,0,1,0
1,78.9,6.6,10.0,0.0,69.1,29.43,25,Clear,Highway,6,Friday,5,PA,1,1,0,0,0
3,68.6,8.5,5.3,0.0,43.0,30.16,45,Clear,City Street,13,Thursday,10,NC,0,0,1,0,0
3,70.0,1.1,10.0,0.22,53.0,30.19,65,Heavy Rain,Highway,23,Thursday,5,CA,0,0,1,0,0
1,39.8,1.1,2.8,0.0,73.5,30.25,25,Cloudy,Highway,8,Tuesday,7,MI,0,1,0,0,0
2,49.0,0.3,10.0,0.0,65.0,30.07,70,Clear,State Road,16,Friday,11,OH,0,0,0,0,0
4,76.9,11.4,0.3,0.0,60.0,30.21,55,Clear,City Street,18,Sunday,12,OH,0,0,0,0,1
3,88.5,3.2,7.0,0.0,46.9,30.12,55,Fog,Highway,8,Friday,10,IL,0,0,1,0,1
4,21.2,2.0,10.0,0.0,31.1,30.49,45,Snow,State Road,17,Saturday,3,CA,0,1,1,0,0
1,48.6,12.0,9.2,0.0,53.8,29.54,55,Cloudy,City Street,10,Friday,1,GA,0,1,1,0,0
1,60.5,1.2,3.6,0.66,58.2,30.07,25,Rain,Interstate,16,Friday,10,NC,0,0,1,0,0
1,42.4,4.5,8.5,0.0,30.6,30.51,65,Cloudy,City Street,16,Monday,4,PA,0,0,0,0,0
1,43.5,10.9,9.2,0.0,61.0,29.51,25,Cloudy,City Street,14,Monday,12,NC,1,1,0,0,0
4,69.5,6.8,8.6,0.0,67.8,29.55,45,Fog,State Road,5,Wednesday,12,IL,0,1,1,0,0
1,91.6,6.5,6.8,0.0,46.2,30.16,35,Clear,Highway,19,Wednesday,12,MI,0,0,0,1,0
1,19.4,1.4,10.0,0.0,68.1,30.59,35,Cloudy,State Road,9,Friday,11,PA,0,1,0,0,0
1,56.6,1.6,10.0,0.0,65.5,29.83,55,Clear,Rural Road,7,Wednesday,2,NC,0,1,0,0,0
1,69.3,7.0,7.5,0.0,53.9,29.95,25,Cloudy,State Road,3,Wednesday,10,OH,0,0,0,0,0
1,75.6,0.2,10.0,0.0,51.7,30.08,35,Cloudy,Rural Road,15,Sunday,12,NC,0,1,0,0,0
1,66.4,16.3,7.5,0.0,53.4,29.66,55,Cloudy,Interstate,16,Thursday,11,TX,0,0,1,0,0
4,95.2,3.5,6.5,0.0,42.9,31.0,65,Clear,Highway,0,Monday,4,TX,0,0,1,0,0
1,60.6,4.3,10.0,0.0,66.9,29.44,45,Cloudy,Highway,13,Monday,5,GA,0,1,1,0,0
1,86.2,2.4,10.0,0.0,43.1,29.95,70,Clear,Highway,8,Friday,2,NY,0,1,0,0,0
1,47.1,16.7,6.1,0.0,44.4,29.95,35,Clear,State Road,16,Thursday,10,TX,0,0,1,0,0
2,61.2,8.2,5.7,0.0,69.9,28.81,55,Clear,Highway,7,Saturday,12,NC,1,1,0,0,0
1,35.7,4.8,10.0,0.08,55.2,29.48,25,Heavy Rain,Rural Road,17,Friday,8,FL,0,0,1,1,0
1,78.0,7.0,7.7,0.0,61.2,29.22,35,Cloudy,Highway,11,Saturday,1,IL,0,1,1,0,0
4,57.6,3.8,8.0,0.25,25.8,30.26,70,Rain,State Road,21,Tuesday,2,OH,1,0,0,0,0
3,67.2,5.0,7.2,0.13,49.5,29.05,75,Rain,Highway,6,Wednesday,3,TX,0,0,0,0,0
2,53.7,3.5,10.0,0.38,93.6,30.37,75,Rain,Interstate,10,Friday,4,CA,0,0,1,0,1
1,71.7,4.2,10.0,0.0,24.4,29.31,65,Cloudy,City Street,6,Saturday,3,IL,0,1,0,1,0
1,67.9,3.0,8.2,0.0,95.0,30.38,35,Cloudy,Interstate,21,Saturday,5,IL,1,1,0,0,0
1,40.1,0.6,10.0,0.0,65.2,29.2,45,Cloudy,Interstate,20,Wednesday,8,MI,0,1,0,1,0
1,41.3,0.3,6.3,0.02,49.3,30.11,25,Rain,State Road,8,Thursday,7,CA,1,1,1,0,1
1,59.4,1.5,7.2,0.0,55.9,30.37,25,Cloudy,Highway,16,Monday,4,IL,0,0,0,1,1
4,73.2,2.3,10.0,0.0,84.6,30.19,65,Snow,Highway,18,Sunday,5,MI,0,0,0,1,0
4,97.3,17.7,5.5,0.0,14.5,29.29,55,Fog,Highway,14,Tuesday,3,CA,1,0,0,1,0
1,66.1,7.6,10.0,0.0,88.3,30.46,65,Clear,City Street,13,Monday,2,OH,0,0,1,0,0
3,80.2,25.4,6.4,0.0,65.3,30.17,55,Clear,Highway,8,Friday,12,MI,0,0,0,0,0
3,27.7,3.3,3.4,0.19,80.2,28.72,25,Rain,Highway,5,Friday,11,GA,0,1,0,0,0
2,100.3,4.1,2.8,0.0,25.0,29.96,45,Clear,City Street,20,Wednesday,7,FL,0,0,0,0,0
2,72.1,10.2,7.0,0.0,55.5,31.32,65,Clear,City Street,20,Wednesday,11,OH,0,1,0,0,0
4,59.0,6.9,9.3,0.0,13.4,30.46,70,Fog,City Street,16,Friday,10,GA,0,1,0,1,0
2,56.7,6.0,3.9,0.0,84.0,29.65,35,Clear,State Road,10,Monday,11,IL,1,0,0,0,0
2,37.9,6.9,8.5,0.0,40.3,30.17,35,Fog,Rural Road,10,Sunday,2,PA,0,1,0,0,1
2,43.6,7.0,8.5,0.24,40.1,29.7,75,Rain,City Street,17,Sunday,9,MI,0,1,1,0,0
4,98.2,11.6,7.5,0.08,21.3,30.41,75,Heavy Rain,Highway,20,Wednesday,3,MI,0,0,1,0,1
3,40.2,8.8,5.2,0.0,68.9,29.49,65,Clear,City Street,20,Friday,8,IL,0,1,0,0,1
1,39.8,25.2,8.7,0.0,61.4,30.5,25,Clear,Interstate,18,Thursday,5,PA,0,1,1,0,0
2,46.0,23.6,7.6,0.0,45.0,30.36,55,Cloudy,Highway,16,Friday,5,IL,0,1,1,1,1
1,36.0,4.4,10.0,0.0,65.3,30.22,35,Clear,State Road,5,Sunday,7,NY,0,0,1,0,0
2,60.3,0.3,4.1,0.0,44.4,30.94,65,Clear,State Road,7,Wednesday,8,IL,1,1,0,0,0
2,81.8,0.1,8.3,0.0,24.8,30.4,45,Clear,Highway,20,Wednesday,2,IL,1,0,0,0,0
1,47.8,1.1,4.2,0.0,52.7,30.41,55,Clear,Rural Road,15,Saturday,5,FL,0,0,0,0,0
1,32.5,0.6,7.3,0.0,92.9,30.46,35,Clear,Highway,0,Monday,2,MI,0,0,0,0,0
4,65.8,3.7,4.7,0.47,79.4,30.26,65,Heavy Rain,City Street,6,Tuesday,9,OH,1,0,0,0,1
1,58.9,0.4,5.2,0.0,69.1,30.13,55,Clear,City Street,16,Monday,2,MI,1,0,0,1,0
3,80.1,7.8,8.0,0.0,64.9,29.56,65,Clear,City Street,0,Saturday,8,FL,0,0,0,0,1
2,50.9,1.7,6.3,0.37,52.7,29.57,45,Rain,Highway,7,Thursday,10,MI,0,0,0,0,0
3,54.8,5.8,10.0,0.06,74.7,30.12,45,Hail,Highway,14,Monday,2,PA,1,1,1,0,0
3,57.0,0.9,10.0,0.0,71.3,30.2,70,Clear,Highway,17,Wednesday,1,OH,0,0,0,0,0
2,61.8,14.1,10.0,0.0,58.3,29.91,45,Clear,Highway,16,Saturday,1,FL,1,0,0,0,1
2,52.1,12.1,10.0,0.0,64.0,29.66,70,Cloudy,State Road,8,Monday,8,CA,1,0,0,0,0
2,48.9,3.9,8.4,0.0,27.9,29.83,25,Fog,Rural Road,17,Tuesday,10,OH,1,0,1,0,1
2,23.0,19.3,10.0,0.42,50.4,29.87,35,Heavy Rain,State Road,8,Saturday,11,NC,0,0,1,0,0
1,48.7,1.6,7.1,0.31,36.1,30.04,65,Rain,City Street,9,Monday,3,NY,0,0,0,0,0
2,74.3,13.5,10.0,0.0,35.8,29.79,75,Clear,State Road,17,Sunday,2,NY,0,1,0,0,0
3,77.0,6.3,5.2,0.0,69.4,30.48,70,Cloudy,City Street,16,Tuesday,11,NC,0,1,0,0,0
2,50.6,3.2,4.6,0.0,34.7,29.84,55,Clear,Interstate,19,Monday,3,NY,0,0,0,1,0
2,86.0,0.7,3.8,0.18,75.4,29.58,55,Rain,Highway,16,Monday,10,TX,0,0,0,1,0
2,59.4,1.5,4.3,0.28,80.6,29.86,55,Rain,Rural Road,14,Friday,5,GA,0,0,1,0,0
4,33.2,15.9,3.1,0.49,58.8,29.35,65,Thunderstorm,City Street,5,Monday,8,TX,1,0,1,0,0
2,27.0,7.5,8.6,0.0,47.9,30.91,55,Clear,Rural Road,10,Friday,2,MI,0,1,0,0,0
1,84.4,2.2,10.0,0.0,80.6,30.23,35,Clear,City Street,8,Wednesday,4,OH,0,1,1,1,0
2,52.5,5.5,8.1,0.0,71.0,29.89,65,Cloudy,State Road,8,Saturday,3,FL,0,1,0,0,0
4,35.7,0.9,3.8,0.04,83.9,30.61,70,Rain,Highway,22,Monday,7,CA,1,1,0,0,0
4,14.8,0.8,6.6,0.11,38.4,29.8,70,Heavy Rain,Highway,11,Wednesday,2,NY,0,0,0,0,0
1,52.1,19.1,10.0,0.0,54.8,29.88,45,Clear,City Street,20,Thursday,7,TX,0,0,0,0,0
1,68.1,4.9,7.0,0.0,55.6,29.55,35,Clear,Interstate,16,Saturday,5,FL,0,0,0,0,1
1,46.0,3.6,5.6,0.0,64.2,29.43,35,Cloudy,City Street,18,Thursday,1,MI,1,0,0,0,0
3,38.9,23.8,3.5,0.0,72.5,30.01,55,Clear,State Road,13,Friday,5,PA,1,1,0,0,0
3,49.0,4.1,6.7,0.0,62.8,30.43,45,Snow,Rural Road,14,Friday,11,FL,0,1,0,0,0
